program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
063	0x36ecdc	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	143	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36eefe	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	253	0	0	0	yes	yes	7	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36ef2c	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	242	0	0	0	yes	yes	6	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36ef46	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	134	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36f14a	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	66	0	0	0	yes	yes	190	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36f438	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	55	0	0	0	yes	yes	163	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36f6af	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	96	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36f820	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	20	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36f87c	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	22	0	0	0	yes	yes	164	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36faf6	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	116	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36fcb6	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	144	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x36fee2	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	153	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370138	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	72	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370256	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	1	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370258	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	286	0	0	0	yes	yes	102	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x3703e6	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	286	0	0	0	yes	yes	73	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370508	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	76	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370632	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	72	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370756	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	6	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370770	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	7	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x37078a	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	286	0	0	0	yes	yes	7	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x3707b1	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	82	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x3708f2	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	104	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370a91	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	144	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370cbe	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	156	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x370f18	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	275	0	0	0	yes	yes	334	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x37142c	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	1650	0	0	0	yes	yes	20	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
063	0x371488	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	1375	0	0	0	yes	yes	69	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
