program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
059	0x3674c3	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	143	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x3676e5	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	440	0	0	0	yes	yes	7	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x367713	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	429	0	0	0	yes	yes	6	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x36772d	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	134	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x367931	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	110	0	0	0	yes	yes	190	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x367c1f	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	99	0	0	0	yes	yes	163	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x367e96	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	96	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368007	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	44	0	0	0	yes	yes	20	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368063	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	164	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x3682dd	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	116	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x36849d	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	143	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x3686c7	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	169	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368952	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	85	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368aa9	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	107	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368c49	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	104	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368de9	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	23	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368e58	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	68	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x368f60	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	44	0	0	0	yes	yes	72	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x36907b	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	44	0	0	0	yes	yes	134	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x369286	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	44	0	0	0	yes	yes	73	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x3693a8	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	101	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x369533	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	156	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x36978a	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	121	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
059	0x369962	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	33	0	0	0	yes	yes	73	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
