family_id	synthetic_start_vm_ip	source_entry	run_dir	seed_quality	live_status	live_table_status	live_table_diagnosis	live_table_offset	live_table_entry	live_table_site	live_table_operand	absolute_file_off	section	region	alignment	nearest_dispatch_entry	nearest_dispatch_entry_delta	dispatch_slot_entry	file_bytes16	file_qword_le	file_qword_class	file_qword_dispatch_entry	runtime_dump_dir	runtime_map_file	runtime_map_perms	runtime_va	runtime_bytes16	runtime_matches_file	runtime_qword_le	runtime_qword_class	runtime_qword_eac_off	runtime_qword_dispatch_entry	runtime_qword_section	next_relation	next_event_vm_ip	next_event_target_entry	observed_first_hop_vm_ip	terminal_dest_vm_ip	live_path_hash	branch_resolution	evidence_class
ufam_02	0xd1445	175	dumps/vmtail-fakenet-w16	frame_only_snapshot	unknown_target	table_oob	table_index_out_of_range	0x4388	2161	0x9c3d3	r13, qword ptr [r9]	0xc7aa0	.text	after_dispatch_table	0	2161	0		cbc5fe3f5f81efcbc5fe3f488b142448	0xcbef815f3ffec5cb	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac7aa0	cbc5fe3f5f81efcbc5fe3f488b142448	yes	0xcbef815f3ffec5cb	non_pointer_bytes				next_event_differs_from_family_chain	0xd4897	354	0xd5eb8	0x334a3d	bbe0d482f93ad097	branch_unknown_unchanged_zero	table_index_out_of_dispatch_range
ufam_02	0xd1445	175	dumps/vmtail-live-residual-targets	full_gpr_snapshot	unknown_target	table_oob	table_index_out_of_range	0x4388	2161	0x9c3d3	r13, qword ptr [r9]	0xc7aa0	.text	after_dispatch_table	0	2161	0		cbc5fe3f5f81efcbc5fe3f488b142448	0xcbef815f3ffec5cb	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac7aa0	cbc5fe3f5f81efcbc5fe3f488b142448	yes	0xcbef815f3ffec5cb	non_pointer_bytes				next_event_is_observed_first_hop	0xd5eb8	123	0xd5eb8	0x334a3d	bbe0d482f93ad097	branch_unknown_unchanged_zero	table_index_out_of_dispatch_range
ufam_03	0xd5ebc	195	dumps/vmtail-fakenet-w16	frame_only_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0x49bd		0xa0048	r10, qword ptr [rdi]	0xc80d5	.text	after_dispatch_table	5	2359	5		fc1d4c29e8415d488704245c48890424	0x485d41e8294c1dfc	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac80d5	fc1d4c29e8415d488704245c48890424	yes	0x485d41e8294c1dfc	non_pointer_bytes				next_event_differs_from_family_chain	0x18bd9a	171	0xdaf35	0x334a3d	44a20faf942e72a8	branch_unknown_unchanged_zero	post_table_code_byte_read
ufam_03	0xd5ebc	195	dumps/vmtail-live-residual-targets	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0x49bd		0xa0048	r10, qword ptr [rdi]	0xc80d5	.text	after_dispatch_table	5	2359	5		fc1d4c29e8415d488704245c48890424	0x485d41e8294c1dfc	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac80d5	fc1d4c29e8415d488704245c48890424	yes	0x485d41e8294c1dfc	non_pointer_bytes				next_event_is_observed_first_hop	0xdaf35	184	0xdaf35	0x334a3d	44a20faf942e72a8	branch_unknown_unchanged_zero	post_table_code_byte_read
ufam_04	0xdaf39	195	dumps/vmtail-fakenet-w16	frame_only_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0x1be		0xa0048	r10, qword ptr [rdi]	0xc38d6	.text	inside_dispatch_table_unaligned	6	55	6		0000763e080000000000f94108000000	0x83e760000	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac38d6	0000763ea8546c700000f941a8546c70	no	0x706c54a83e760000	non_pointer_bytes				next_event_differs_from_family_chain	0x18c088	171	0x18c463	0x334a3d	44a20faf942e72a8	branch_unknown_unchanged_zero	misaligned_inside_dispatch_table
ufam_04	0xdaf39	195	dumps/vmtail-live-residual-targets	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0x1be		0xa0048	r10, qword ptr [rdi]	0xc38d6	.text	inside_dispatch_table_unaligned	6	55	6		0000763e080000000000f94108000000	0x83e760000	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ac38d6	0000763ea8546c700000f941a8546c70	no	0x706c54a83e760000	non_pointer_bytes				next_event_is_observed_first_hop	0x18c463	184	0x18c463	0x334a3d	44a20faf942e72a8	branch_unknown_unchanged_zero	misaligned_inside_dispatch_table
ufam_00	0x122e3c	299	dumps/vmtail-residual-122e3c-context	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0xd9cf		0xb7066	r12, qword ptr [r14]	0xd10e7	.text	after_dispatch_table	7	6969	7		00388e7900d2193ac6f0e8015417b300	0x3a19d200798e3800	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ad10e7	00388e7900d2193ac6f0e8015417b300	yes	0x3a19d200798e3800	non_pointer_bytes				next_event_is_terminal_reentry	0x2c0468	165	0x2c0468	0x2c0468	833b04476f7a3399	branch_unknown_removed	post_table_code_byte_read
ufam_00	0x122e3c	299	dumps/vmtail-residual-122e3c-context-postcall	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0xd9cf		0xb7066	r12, qword ptr [r14]	0xd10e7	.text	after_dispatch_table	7	6969	7		00388e7900d2193ac6f0e8015417b300	0x3a19d200798e3800	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ad10e7	00388e7900d2193ac6f0e8015417b300	yes	0x3a19d200798e3800	non_pointer_bytes				next_event_is_terminal_reentry	0x2c0468	165	0x2c0468	0x2c0468	833b04476f7a3399	branch_unknown_removed	post_table_code_byte_read
ufam_00	0x122e3c	299	dumps/vmtail-state-residual-targets	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0xd9cf		0xb7066	r12, qword ptr [r14]	0xd10e7	.text	after_dispatch_table	7	6969	7		00388e7900d2193ac6f0e8015417b300	0x3a19d200798e3800	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ad10e7	00388e7900d2193ac6f0e8015417b300	yes	0x3a19d200798e3800	non_pointer_bytes				no_following_event_in_run			0x2c0468	0x2c0468	833b04476f7a3399	branch_unknown_removed	post_table_code_byte_read
ufam_05	0x12906f	278	dumps/vmtail-live-residual-targets	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0xea3c		0xb2632	r10, qword ptr [rbx]	0xd2154	.text	after_dispatch_table	4	7495	4		aa017aa5aee8017eec5d3756c4c7bf3a	0x7e01e8aea57a01aa	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ad2154	aa017aa5aee8017eec5d3756c4c7bf3a	yes	0x7e01e8aea57a01aa	non_pointer_bytes				next_event_is_observed_first_hop	0x17452a	123	0x17452a	0x2c0468	a604fbe70c42f7fd	branch_unknown_unchanged_zero	post_table_code_byte_read
ufam_05	0x12906f	278	dumps/vmtail-state-residual-targets	full_gpr_snapshot	unknown_target	table_read	misaligned_or_non_qword_table_read	0xea3c		0xb2632	r10, qword ptr [rbx]	0xd2154	.text	after_dispatch_table	4	7495	4		aa017aa5aee8017eec5d3756c4c7bf3a	0x7e01e8aea57a01aa	non_pointer_bytes		dumps/vmtail-residual-122e3c-context-postcall	postcall_map_706c54a01000_706c5503d000_rwxp_off_1000.bin	rwxp	0x706c54ad2154	aa017aa5aee8017eec5d3756c4c7bf3a	yes	0x7e01e8aea57a01aa	non_pointer_bytes				next_event_is_observed_first_hop	0x17452a	123	0x17452a	0x2c0468	a604fbe70c42f7fd	branch_unknown_unchanged_zero	post_table_code_byte_read
